video_id,title,channel_name,tanggal,author,komentar,label,komentar_clean,predicted_label,cleaned,stemmed,tokens,token_count,char_count,text_clean,label_keterangan,predicted_score
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.263.101.520,zxx_hime,Makasih bang,0,makasih bang,0,makasih bang,makasih bang,"['makasih', 'bang']",2.0,12.0,0,,
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.161.450.270,yoggyramadhanil,"Bagus juga lu main motor zik, modif motor matic 😂",0,"bagus lu main motor zik , modif motor matic",0,bagus juga lu main motor zik modif motor matic,bagus juga lu main motor zik modif motor matic,"['bagus', 'juga', 'lu', 'main', 'motor', 'zik', 'modif', 'motor', 'matic']",9.0,49.0,0,,
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.387.029.573.090,gokiburisan,salah satu episode skakmat terbaik!,0,salah satu episode skakmat terbaik !,0,salah satu episode skakmat terbaik,salah satu episode skakmat baik,"['salah', 'satu', 'episode', 'skakmat', 'terbaik']",5.0,35.0,0,,
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,173.994.616.953.588,MARCUSAsh-e9s,"04:20 Rezeki gak ada putusnya, makasi ＰⓤＬＡＵ777.",1,"04:20 rezeki gak putusnya , makasi ｐⓤｌａｕ777 .",1,oa 2o rezeki gak ada putusnya makasi pulauttt,oa 2o rezeki gak ada putus makas pulauttt,"['oa', '2o', 'rezeki', 'gak', 'ada', 'putusnya', 'makasi', 'pulauttt']",8.0,47.0,1,,
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.351.169.611.640,sulaimanqurni-xi6ii,"Saking asyik baca komen , jadi pengen pipis online gue  😅",0,"saking asyik baca komen , jadi pengen pipis online gue",0,saking asyik baca komen jadi pengen pipis online gue,saking asyik baca komen jadi ken pipis online gue,"['saking', 'asyik', 'baca', 'komen', 'jadi', 'pengen', 'pipis', 'online', 'gue']",9.0,57.0,0,,
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.376.203.340.560,nanamiakiss6457,"Aamiin,siap bgt bang",0,"aamiin , siap bgt bang",0,aamiin siap bgt bang,aamiin siap bgt bang,"['aamiin', 'siap', 'bgt', 'bang']",4.0,20.0,0,,
IlkUUwDFCiI,YAMAHA CRYPTON | Begini Rasanya Bila Yamaha Buat Motor Bebek 4 Tak | Motomobi Used Bike,Motomobi,2025-03-21 13:00:27+00:00,AdiltampanManikmoyo-z5v,"modal receh , lgsng mekswin gg",1,"modal receh , lgsng mekswin gg",1,modal receh lgsng mekswin gg,modal receh lgsng mekswin gg,"['modal', 'receh', 'lgsng', 'mekswin', 'gg']",5.0,30.0,1,,
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,LailaKristanto-p1j,orang bilang alexis17 tuh bener-bener ngubah nasib .,1,orang bilang alexis17 tuh bener-bener ngubah nasib .,1,orang bilang alexisit tuh bener bener ngubah nasib,orang bilang alexisit tuh bener bener ngubah nasib,"['orang', 'bilang', 'alexisit', 'tuh', 'bener', 'bener', 'ngubah', 'nasib']",8.0,52.0,1,,
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.412.230.052.360,kunrishqee5021,25:15 Undo moment🗿🗿,0,25:15 undo moment,0,2s is undo moment,2s is undo moment,"['2s', 'is', 'undo', 'moment']",4.0,19.0,0,,
-eV36rVeJQQ,,tanboy kun,,,GA RU DA HO KI꧂Gacorr Parahh,1,,1,,,,,,1,iklan judol,0.0294503237961922
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,173.968.606.638.786,nicosteven6482,Ganteng Banget❤,0,ganteng banget,0,ganteng banget,ganteng banget,"['ganteng', 'banget']",2.0,15.0,0,,
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.306.795.660,edwardpatrick5989,Ya Tuhan. Sedih banget denger jawabannya😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0,ya tuhan . sedih banget denger jawabannya,0,ya tuhan sedih banget denger jawabannya,ya tuhan sedih banget denger jawab,"['ya', 'tuhan', 'sedih', 'banget', 'denger', 'jawabannya']",6.0,60.0,0,,
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.327.759.010,BarisGulcin,Terimakasih mandalika77 memang super hoki keren terpercaya dan nyata,1,terimakasih mandalika77 super hoki keren terpercaya nyata,1,terimakasih mandalikatt memang super hoki keren terpercaya dan nyata,terimakasih mandalikatt memang super hoki keren percaya dan nyata,"['terimakasih', 'mandalikatt', 'memang', 'super', 'hoki', 'keren', 'terpercaya', 'dan', 'nyata']",9.0,68.0,1,,
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.270.919.600,maizarindra498,Nalarmu yg berarti rendah😂,0,nalarmu yg berarti rendah,0,nalarmu yg berarti rendah,nalar yg arti rendah,"['nalarmu', 'yg', 'berarti', 'rendah']",4.0,26.0,0,,
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.535.794.950,MineKamil-i3j,mantap ga sih ini paling bocor maen dipulau77,1,mantap ga sih bocor maen dipulau77,1,mantap ga sih ini paling bocor maen dipulautt,mantap ga sih ini paling bocor maen dipulautt,"['mantap', 'ga', 'sih', 'ini', 'paling', 'bocor', 'maen', 'dipulautt']",8.0,45.0,1,,
pBcSMYRU2Ug,,Sebastian Tedy,,,ga nyangka waroeng SS sampe ke Aussie 😍,0,,0,,,,,,0,bukan iklan judol,-0.396383080108551
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.362.999.020,adharimu,Kok denger pak presiden ngomong ngilu ya?,0,kok denger pak presiden ngomong ngilu ya ?,0,kok denger pak presiden ngomong ngilu ya,kok denger pak presiden ngomong ngilu ya,"['kok', 'denger', 'pak', 'presiden', 'ngomong', 'ngilu', 'ya']",7.0,41.0,0,,
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.300.767.238.440,alvianazis3707,gajelas ngomongin apa,0,gajelas ngomongin apa,0,gajelas ngomongin apa,gajelas ngomongin apa,"['gajelas', 'ngomongin', 'apa']",3.0,21.0,0,,
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,anandar8245,"65inch aja udah gede bener , jir",1,"65inch aja udah gede bener , jir",1,6sinch aja udah gede bener jir,6sinch aja udah gede bener jir,"['6sinch', 'aja', 'udah', 'gede', 'bener', 'jir']",6.0,32.0,1,,
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.276.679.460,ardhyfitri,"Bantahan jg sbg jawaban kan,drpd menghindar",0,"bantahan jg sbg jawaban kan , drpd menghindar",0,bantahan jg sbg jawaban kan drpd menghindar,bantah jg sbg jawab kan drpd hindar,"['bantahan', 'jg', 'sbg', 'jawaban', 'kan', 'drpd', 'menghindar']",7.0,43.0,0,,
