video_id,channel_name,komentar,label,komentar_clean,komentar_stage1
f8UEkmYXlzA,Pandji Pragiwaksono,Makin yakin abis baca review lain tentang ✌✌𝐒𝐆𝐈𝟖𝟖.,1,makin yakin abis baca review lain tentang isyarat_kemenangan isyarat_kemenangan SGI88,makin yakin abis baca review lain tentang :isyarat_kemenangan::isyarat_kemenangan:SGI88.
XI8K0-_kbHc,Jejelogy,Paling suka model H2 😍🔥,0,paling suka model h2 wajah_tersenyum_lebar_bermata_hati api,paling suka model h2 :wajah_tersenyum_lebar_bermata_hati::api:
nZoNbiwP2ZE,Garasi Drift,Mobilnya udah hancur 🥺,0,mobilnya udah hancur wajah_memelas,mobilnya udah hancur :wajah_memelas:
QpXcKzQInXg,Garasi Drift,░𝙈𝘼𝙉𝙐𝙏88░benar2 bikin aku jadi sultan,1,░MANUT88░benar2 bikin aku jadi sultan,░MANUT88░benar2 bikin aku jadi sultan
nZoNbiwP2ZE,Garasi Drift,Semoga lekas recover mobilnya mas Dipo,0,semoga lekas recover mobilnya mas dipo,semoga lekas recover mobilnya mas dipo
gRjWM8jPIPw,Fitra Eri,pantes tongkrongan maen alexis17,1,pantes tongkrongan maen alexis17,pantes tongkrongan maen alexis17
4-hj6CwvKpU,Motomobi,gua udah ga bisa bayangin hidup tanpa ALEXIS-17☯ sih,1,gua udah ga bisa bayangin hidup tanpa alexis 17 yin_yang sih,gua udah ga bisa bayangin hidup tanpa alexis-17:yin_yang: sih
rrUoGtfU9kw,Fitra Eri,langsung percaya lihat hasilnya,1,langsung percaya lihat hasilnya,langsung percaya lihat hasilnya
VXqMJqP7mvk,GadgetIn,orang bilang alexis17 tuh miracle banget !,1,orang bilang alexis17 tuh miracle banget,orang bilang alexis17 tuh miracle banget !
gP0YCMCJnjA,Narasi Newsroom,Yapping mulu anjir kagak ada jawaban sistematis dan realistis,0,yapping mulu anjir kagak ada jawaban sistematis dan realistis,yapping mulu anjir kagak ada jawaban sistematis dan realistis
ufS5vDKnIhM,Motomobi,gue rela gak upgrade hp nabung alexis17 .,1,gue rela gak upgrade hp nabung alexis17,gue rela gak upgrade hp nabung alexis17 .
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,sekarang udah brp ya ya dislike 👎👎👎👎👎👎,0,sekarang udah brp ya ya dislike jempol_ke_bawah jempol_ke_bawah jempol_ke_bawah jempol_ke_bawah jempol_ke_bawah jempol_ke_bawah,sekarang udah brp ya ya dislike :jempol_ke_bawah::jempol_ke_bawah::jempol_ke_bawah::jempol_ke_bawah::jempol_ke_bawah::jempol_ke_bawah:
-vQDp9fHrzk,Karbida FC,Keren bngettttt,0,keren bngettttt,keren bngettttt
QpXcKzQInXg,Garasi Drift,Diatas GD masi ada ASC monster 😅,0,diatas gd masi ada asc monster wajah_tersenyum_lebar_dan_berkeringat,diatas gd masi ada asc monster :wajah_tersenyum_lebar_dan_berkeringat:
nZoNbiwP2ZE,Garasi Drift,Makantuh setengah jam,0,makantuh setengah jam,makantuh setengah jam
zFhBO9uoGYA,Om Mobi,"pikir , kelewat mikir sampe lupa pu lau tujuh tujuh tujuh !",1,pikir kelewat mikir sampe lupa pu lau tujuh tujuh tujuh,"pikir , kelewat mikir sampe lupa pu lau tujuh tujuh tujuh !"
BI_RsNf1HJA,Garasi Drift,​kocakk emang itu caranya biar komenan judol ga diatas ​ @izurzuhri ,0,​kocakk emang itu caranya biar komenan judol ga diatas ​ izurzuhri,​kocakk emang itu caranya biar komenan judol ga diatas ​ @izurzuhri 
gP0YCMCJnjA,Narasi Newsroom,Rasanya seperti mendengar orang berkampanye 😅,0,rasanya seperti mendengar orang berkampanye wajah_tersenyum_lebar_dan_berkeringat,rasanya seperti mendengar orang berkampanye :wajah_tersenyum_lebar_dan_berkeringat:
4-hj6CwvKpU,Motomobi,❤ 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ❤,1,hati_merah WETON88 hati_merah,:hati_merah: WETON88 :hati_merah:
VXqMJqP7mvk,GadgetIn,"dikit2 iphone, lu napa bro xD",0,dikit2 iphone lu napa bro xd,"dikit2 iphone, lu napa bro xd"
gP0YCMCJnjA,Narasi Newsroom,INI SEORANG PRESIDEN 😂😂,0,ini seorang presiden wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata,ini seorang presiden :wajah_gembira_berurai_air_mata::wajah_gembira_berurai_air_mata:
f8UEkmYXlzA,Pandji Pragiwaksono,"wah nanti jawaban beliau template, ""ya ndak tau kok tanya saya""",0,wah nanti jawaban beliau template ya ndak tau kok tanya saya,"wah nanti jawaban beliau template, ""ya ndak tau kok tanya saya"""
gP0YCMCJnjA,Narasi Newsroom,"Kesel gue pas kepala babi, malah bahas perang dunia ke 3, blunder",0,kesel gue pas kepala babi malah bahas perang dunia ke 3 blunder,"kesel gue pas kepala babi, malah bahas perang dunia ke 3, blunder"
VXqMJqP7mvk,GadgetIn,Busett cerahh banget 🚩𝐒𝐆𝐈𝟖𝟖🚩 encess sama koinya lagi ngasih mulu,1,busett cerahh banget bendera_segitiga SGI88 bendera_segitiga encess sama koinya lagi ngasih mulu,busett cerahh banget :bendera_segitiga:SGI88:bendera_segitiga: encess sama koinya lagi ngasih mulu
rrUoGtfU9kw,Fitra Eri,"bro alexis17 , ngadain giveaway nih , hadiahnya motor sport terbaru",1,bro alexis17 ngadain giveaway nih hadiahnya motor sport terbaru,"bro alexis17 , ngadain giveaway nih , hadiahnya motor sport terbaru"
rrUoGtfU9kw,Fitra Eri,menang ! 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 bikin hidup !,1,menang SUHU328 bikin hidup,menang ! SUHU328 bikin hidup !
n_mFKYFMtWY,Bus Pesona,Pesona ya laksana. Beli jb5 cuma nuruti mania yg koar2 di sosmed,0,pesona ya laksana beli jb5 cuma nuruti mania yg koar2 di sosmed,pesona ya laksana. beli jb5 cuma nuruti mania yg koar2 di sosmed
f8UEkmYXlzA,Pandji Pragiwaksono,"Baru jepe 2 kali, wede lancar banget",1,baru jepe 2 kali wede lancar banget,"baru jepe 2 kali, wede lancar banget"
Ou0UedfyuqU,GadgetIn,"makswin brusan gates , gg banget",1,makswin brusan gates gg banget,"makswin brusan gates , gg banget"
4-hj6CwvKpU,Motomobi,Seru abis! Rasanya gak lengkap sehari tanpa 🔥⚡ALEXIS17⚡?🔥,1,seru abis rasanya gak lengkap sehari tanpa api tegangan_tinggi alexis17 tegangan_tinggi api,seru abis! rasanya gak lengkap sehari tanpa :api::tegangan_tinggi:alexis17:tegangan_tinggi:?:api:
nZoNbiwP2ZE,Garasi Drift,"𝘈𝐻𝘔𝐀𝐷𝘛𝘖𝑇𝑂 bikin lupa masalah, hiburan yang hakiki!",1,AHMADTOTO bikin lupa masalah hiburan yang hakiki,"AHMADTOTO bikin lupa masalah, hiburan yang hakiki!"
Ou0UedfyuqU,GadgetIn,emang gak se-terpercaya alexis17 sih .,1,emang gak se terpercaya alexis17 sih,emang gak se-terpercaya alexis17 sih .
gRjWM8jPIPw,Fitra Eri,gak pakai proses nya langsung wd,1,gak pakai proses nya langsung wd,gak pakai proses nya langsung wd
ufS5vDKnIhM,Motomobi,"sungguh ! 𝘿 о r 𝘈 𝟩 7 ketagihan berat , sulit berhenti !",1,sungguh D o r A 7 7 ketagihan berat sulit berhenti,"sungguh ! D o r A 7 7 ketagihan berat , sulit berhenti !"
QpXcKzQInXg,Garasi Drift,Semangat garasi drift semoga cepat 3 jt,0,semangat garasi drift semoga cepat 3 jt,semangat garasi drift semoga cepat 3 jt
QpXcKzQInXg,Garasi Drift,Kebanyakan kata LUMAYAN,0,kebanyakan kata lumayan,kebanyakan kata lumayan
4-hj6CwvKpU,Motomobi,aceh donggg,0,aceh donggg,aceh donggg
f8UEkmYXlzA,Pandji Pragiwaksono,Buset 24 menit udah kalah aja mas Panji 🤣,0,buset 24 menit udah kalah aja mas panji tertawa_terbahak bahak,buset 24 menit udah kalah aja mas panji :tertawa_terbahak-bahak:
gP0YCMCJnjA,Narasi Newsroom,Astagfirullahaladzim 😢😢,0,astagfirullahaladzim wajah_menangis wajah_menangis,astagfirullahaladzim :wajah_menangis::wajah_menangis:
-vQDp9fHrzk,Karbida FC,"Bangun tidur ku terus ngeslt, emang paten kali  mandalika77 nih belum apa2 udah maxwin dia, kirain cuma dalam mimpi doang bisa dapat maxwin.",1,bangun tidur ku terus ngeslt emang paten kali mandalika77 nih belum apa2 udah maxwin dia kirain cuma dalam mimpi doang bisa dapat maxwin,"bangun tidur ku terus ngeslt, emang paten kali  mandalika77 nih belum apa2 udah maxwin dia, kirain cuma dalam mimpi doang bisa dapat maxwin."
nZoNbiwP2ZE,Garasi Drift,VELG NYA CAKEPPPPP🤤,0,velg nya cakeppppp ngiler,velg nya cakeppppp:ngiler:
XI8K0-_kbHc,Jejelogy,Truck ev blm ada ya,0,truck ev blm ada ya,truck ev blm ada ya
5MBwJpU-9tg,Garasi Drift Podcast,dikasi jp pas modal haha makasi𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖,1,dikasi jp pas modal haha makasiP L U T O 8 8,dikasi jp pas modal haha makasiP L U T O 8 8
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,"Baru tau,tapi Barusan gue ikutan dislike 😂",0,baru tau tapi barusan gue ikutan dislike wajah_gembira_berurai_air_mata,"baru tau,tapi barusan gue ikutan dislike :wajah_gembira_berurai_air_mata:"
aA9G2sW212g,Om Mobi,cobain langsung ketagihan puas,1,cobain langsung ketagihan puas,cobain langsung ketagihan puas
4-hj6CwvKpU,Motomobi,kebanggaan gua nih kalau di tongkrongan! ⭐ A L E X I S 1 7 ⭐Top markotop,1,kebanggaan gua nih kalau di tongkrongan bintang_medium_putih a l e x i s 1 7 bintang_medium_putih top markotop,kebanggaan gua nih kalau di tongkrongan! :bintang_medium_putih: a l e x i s 1 7 :bintang_medium_putih:top markotop
gP0YCMCJnjA,Narasi Newsroom,"Ga tau mau komen apa, yg jelas ga ada bobot nya",0,ga tau mau komen apa yg jelas ga ada bobot nya,"ga tau mau komen apa, yg jelas ga ada bobot nya"
f8UEkmYXlzA,Pandji Pragiwaksono,"kocak banget lu Nji, wkwkwkwkwk",0,kocak banget lu nji wkwkwkwkwk,"kocak banget lu nji, wkwkwkwkwk"
4-hj6CwvKpU,Motomobi,Fix gak nyesel! Bangga banget jadi bagian dari 🔥⚡ALEXIS17⚡?🔥,1,fix gak nyesel bangga banget jadi bagian dari api tegangan_tinggi alexis17 tegangan_tinggi api,fix gak nyesel! bangga banget jadi bagian dari :api::tegangan_tinggi:alexis17:tegangan_tinggi:?:api:
VXqMJqP7mvk,GadgetIn,"sis , ngeh kalo 𝘼𝙇𝙀𝙓𝙄𝙎17 sekeren . gila .",1,sis ngeh kalo ALEXIS17 sekeren gila,"sis , ngeh kalo ALEXIS17 sekeren . gila ."
gP0YCMCJnjA,Narasi Newsroom,"Nonton SILA dulu, baru saya kesini 😅",0,nonton sila dulu baru saya kesini wajah_tersenyum_lebar_dan_berkeringat,"nonton sila dulu, baru saya kesini :wajah_tersenyum_lebar_dan_berkeringat:"
Ou0UedfyuqU,GadgetIn,"buset tv segede gitu , main pes gawang gawang keliatan kalih",1,buset tv segede gitu main pes gawang gawang keliatan kalih,"buset tv segede gitu , main pes gawang gawang keliatan kalih"
VXqMJqP7mvk,GadgetIn,"Bang ,coba riview HP Blackview",0,bang coba riview hp blackview,"bang ,coba riview hp blackview"
gP0YCMCJnjA,Narasi Newsroom,Mas Amba kyny lebih tau realita di lapangan,0,mas amba kyny lebih tau realita di lapangan,mas amba kyny lebih tau realita di lapangan
BI_RsNf1HJA,Garasi Drift,Salfok di booth airbft 🤣,0,salfok di booth airbft tertawa_terbahak bahak,salfok di booth airbft :tertawa_terbahak-bahak:
VXqMJqP7mvk,GadgetIn,Ada namanya parts namanya flexibel gampang rusak,0,ada namanya parts namanya flexibel gampang rusak,ada namanya parts namanya flexibel gampang rusak
f8UEkmYXlzA,Pandji Pragiwaksono,Semua orang bilang ALEXIS⭐17⭐ tuh blessing banget!,1,semua orang bilang alexis bintang_medium_putih 17 bintang_medium_putih tuh blessing banget,semua orang bilang alexis:bintang_medium_putih:17:bintang_medium_putih: tuh blessing banget!
f8UEkmYXlzA,Pandji Pragiwaksono,Udah cukup 😂,0,udah cukup wajah_gembira_berurai_air_mata,udah cukup :wajah_gembira_berurai_air_mata:
f8UEkmYXlzA,Pandji Pragiwaksono,Iya lagi!! Lucu banget 😂😂😂😂,0,iya lagi lucu banget wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata,iya lagi!! lucu banget :wajah_gembira_berurai_air_mata::wajah_gembira_berurai_air_mata::wajah_gembira_berurai_air_mata::wajah_gembira_berurai_air_mata:
VXqMJqP7mvk,GadgetIn,Ishowspeed pernah review juga,0,ishowspeed pernah review juga,ishowspeed pernah review juga
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,Nganggur pres wapres,0,nganggur pres wapres,nganggur pres wapres
-vQDp9fHrzk,Karbida FC,"Belum beli aja, uda seneng banget..
Gimana klo uda munyain..",0,belum beli aja uda seneng banget gimana klo uda munyain,"belum beli aja, uda seneng banget..
gimana klo uda munyain.."
ufS5vDKnIhM,Motomobi,keren . gas mari kak weton88,1,keren gas mari kak weton88,keren . gas mari kak weton88
BI_RsNf1HJA,Garasi Drift,"Namanya aja the elite, emg elite. Gaada yg norak kek pasar malem",0,namanya aja the elite emg elite gaada yg norak kek pasar malem,"namanya aja the elite, emg elite. gaada yg norak kek pasar malem"
ufS5vDKnIhM,Motomobi,main alexis17 suaranya,1,main alexis17 suaranya,main alexis17 suaranya
-vQDp9fHrzk,Karbida FC,"Berkah rezeki hari ini berkat 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓,puji syukur!",1,berkah rezeki hari ini berkat PROBET855 puji syukur,"berkah rezeki hari ini berkat PROBET855,puji syukur!"
-vQDp9fHrzk,Karbida FC,nice link bagus mandalika77,1,nice link bagus mandalika77,nice link bagus mandalika77
ycGdOc17FhA,Fitra Eri,"min video lu baguss , pilih 𝐒𝐆𝐈𝟖𝟖",1,min video lu baguss pilih SGI88,"min video lu baguss , pilih SGI88"
ycGdOc17FhA,Fitra Eri,capek bgt nemuin alexis17 trs,1,capek bgt nemuin alexis17 trs,capek bgt nemuin alexis17 trs
f8UEkmYXlzA,Pandji Pragiwaksono,tirta cipeng ahok gas,0,tirta cipeng ahok gas,tirta cipeng ahok gas
nZoNbiwP2ZE,Garasi Drift,Ampe merinding cuyy,0,ampe merinding cuyy,ampe merinding cuyy
gP0YCMCJnjA,Narasi Newsroom,​ manusia__biasa 😂😂😂😂 emang yang lain nggak,0,​ manusia__biasa wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata emang yang lain nggak,​ manusia__biasa :wajah_gembira_berurai_air_mata::wajah_gembira_berurai_air_mata::wajah_gembira_berurai_air_mata::wajah_gembira_berurai_air_mata: emang yang lain nggak
-vQDp9fHrzk,Karbida FC,Setuju bngt..,0,setuju bngt,setuju bngt..
ufS5vDKnIhM,Motomobi,emang ya alexis17 gampang menang,1,emang ya alexis17 gampang menang,emang ya alexis17 gampang menang
gP0YCMCJnjA,Narasi Newsroom,JOKOWI mulu disebut,0,jokowi mulu disebut,jokowi mulu disebut
gP0YCMCJnjA,Narasi Newsroom,bobroknya bawahan sama pemimpin dikupas tuntas,0,bobroknya bawahan sama pemimpin dikupas tuntas,bobroknya bawahan sama pemimpin dikupas tuntas
rrUoGtfU9kw,Fitra Eri,gue rela gak tidur ngikutin update terbaru alexis17 .,1,gue rela gak tidur ngikutin update terbaru alexis17,gue rela gak tidur ngikutin update terbaru alexis17 .
BI_RsNf1HJA,Garasi Drift,"★Mandalika77★ mekswin, depoin LIMPUL",1,★mandalika77★ mekswin depoin limpul,"★mandalika77★ mekswin, depoin limpul"
QpXcKzQInXg,Garasi Drift,Who hurt you sweetie ❤,0,who hurt you sweetie hati_merah,who hurt you sweetie :hati_merah:
VXqMJqP7mvk,GadgetIn,"cuy , serius nanya , 𝘼𝙇𝙀𝙓𝙄𝙎17 beneran sebagus ?",1,cuy serius nanya ALEXIS17 beneran sebagus,"cuy , serius nanya , ALEXIS17 beneran sebagus ?"
kUom1fDXs4A,Fitra Eri,Kalo mazda paling suka cx 60,0,kalo mazda paling suka cx 60,kalo mazda paling suka cx 60
hEGVZ5y4oGI,FUSE BOX,"""Kecuali dari Mazda""",0,kecuali dari mazda,"""kecuali dari mazda"""
ufS5vDKnIhM,Motomobi,alexis17 superrrrrr bosku gac0r melayang,1,alexis17 superrrrrr bosku gac0r melayang,alexis17 superrrrrr bosku gac0r melayang
J2_Egvu2QII,Ridwan Hanif,Journeynya belum ada video baru mas Ridwan?,0,journeynya belum ada video baru mas ridwan,journeynya belum ada video baru mas ridwan?
Ou0UedfyuqU,GadgetIn,jepey gmpng banget 𝐒𝐆𝐈𝟖𝟖,1,jepey gmpng banget SGI88,jepey gmpng banget SGI88
QpXcKzQInXg,Garasi Drift,Wkwk sama bg​ @linggarprasetyo9804 ,0,wkwk sama bg​ linggarprasetyo9804,wkwk sama bg​ @linggarprasetyo9804 
VXqMJqP7mvk,GadgetIn,"cuy , 𝘼𝙇𝙀𝙓𝙄𝙎17 , lo coba !",1,cuy ALEXIS17 lo coba,"cuy , ALEXIS17 , lo coba !"
gP0YCMCJnjA,Narasi Newsroom,Nggambleh Thok .isone mung omong apik2 wae. Payahhhhh,0,nggambleh thok isone mung omong apik2 wae payahhhhh,nggambleh thok .isone mung omong apik2 wae. payahhhhh
