video_id,channel_name,komentar
MkX3K8Vmvas,tanboy kun,Pengen cobain tp jauuuh
MkX3K8Vmvas,tanboy kun,Jadi inget pas maen go foot dapet SOP janda mana ambil jauh...eh pas di resto duite kurang 2 rebu ga di layanin...sedih bgt ahirnya di cansel Cs...soalnya masih go shop Sampai sekarang kl dpt ga mau lagi😂
MkX3K8Vmvas,tanboy kun,bang bokor yang punya kawasan kaga masuk kamera hahahaha mantap bikin ngilerrr 🤤🤤🤤
MkX3K8Vmvas,tanboy kun,Gw makan sop janda itu dr jaman harga 16rb skrg udah 60rb..kangen euy kawasan mm2100 ❤
MkX3K8Vmvas,tanboy kun,"Sampe ga bisa berkata kataa, wah waaah wahhhhhh"
MkX3K8Vmvas,tanboy kun,Itu yg harga brapa duit<br>Ko banyak bangat daging dan tangkarny?<br>Sya pernah beli yg seporsi 35br<br>Banyakan kuah dan cabenya nya dri pd isinya
MkX3K8Vmvas,tanboy kun,Nah...ini yg saya tunggu SOP jada Bu darmi bang....
MkX3K8Vmvas,tanboy kun,Sop jandaa bu darmi 10/10 mantapp favoritt
MkX3K8Vmvas,tanboy kun,"Alhirnya di liput juga, udah lama ini restonya kan.. dulu sih best bgt.. gatau kalo sekarang"
MkX3K8Vmvas,tanboy kun,Emg enak bgt. Tiap ke cibitung mampir beli sop janda
MkX3K8Vmvas,tanboy kun,Emang semantep itu sop janda mami darmi
MkX3K8Vmvas,tanboy kun,"Coba dateng ke tambun selatan, ada makanan sopel(sosis pele) bang pedesnya nampol"
MkX3K8Vmvas,tanboy kun,Makan rawit kayak makan sayur
MkX3K8Vmvas,tanboy kun,anak cikarang hadir😂
MkX3K8Vmvas,tanboy kun,3mamgkuk sup daging+nasi+gorengan 1piring ini mah BKN diet bang..hehehe
MkX3K8Vmvas,tanboy kun,Ini tan boy kun datang jam berapa yah? Gw yg deket aja kl mau beli sop janda datangnya jam 9 pagi😂
MkX3K8Vmvas,tanboy kun,bengkak ba jubur.
MkX3K8Vmvas,tanboy kun,ada TOG3L cambodia taiwan china japan hongkong sydney singapore p00ls gak ribet 【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥
MkX3K8Vmvas,tanboy kun,"Website gacor, Proses cepat seperti kilat, cuma disitus 【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥"
MkX3K8Vmvas,tanboy kun,【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥 bikin gue selalu stay positif karena gacornya
MkX3K8Vmvas,tanboy kun,mantep juga main di 【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥 barusan wd 3 ikat modal 100 aja
MkX3K8Vmvas,tanboy kun,Gampang banget merasakan wd di 【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥
MkX3K8Vmvas,tanboy kun,gak heran sama 【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥 pantesan semua pada betah maen
MkX3K8Vmvas,tanboy kun,"Kebayang sedep kuah  kaldunya, lumer dagingnya, pedes rawit ijonya bikin flu langsung sembuh dehh"
MkX3K8Vmvas,tanboy kun,"Dulu sering banget makan di SOP janda Mpok Darmi, mantap banget emang, daging nya gede²."
MkX3K8Vmvas,tanboy kun,"Wah akhirnya  di upload njh,lama banget upload nya bang,  perasaan hampir mau sebulan take video nya.😅"
MkX3K8Vmvas,tanboy kun,"xprsi ga bisa boong ya,mnikmati bgt ,kynya emang seenak itu krn kynya dya kdang agk ga sadar jg deh klo lg ngvlog,mkan nya bner&quot; ky orng mkan tanpa kamera,lahap bgt ,nntn d jam kunti ngiler bgt ,dsni jg ada sop janda tp ga tau deh cbang nya apa bukan"
MkX3K8Vmvas,tanboy kun,Karna disyut aj sebanyak itu..<br>Biasanya sih gitu buat narik pelanggan
MkX3K8Vmvas,tanboy kun,Deket bgt ini dari rumah
MkX3K8Vmvas,tanboy kun,"Menurut ku kurang enak ,sop nya masih ke cium bau amis nya…"
MkX3K8Vmvas,tanboy kun,Ya Allah bang nikmat mana lagi coba yg kau dustakan itu sop iga bikin ngiler 🤤
MkX3K8Vmvas,tanboy kun,Cobain maidahhh
MkX3K8Vmvas,tanboy kun,Makanan setiap gajian para pekerja pabrik🎉🎉🎉🎉
MkX3K8Vmvas,tanboy kun,Dah pernh dulu sering mkn disana.mantap. 1 porsi bisa buat 2 orang
MkX3K8Vmvas,tanboy kun,2017-2019 sering beli 😂
MkX3K8Vmvas,tanboy kun,asam lambung gw ngumpet liat ini
MkX3K8Vmvas,tanboy kun,Dikit ajh lagi diet😹
MkX3K8Vmvas,tanboy kun,Sop janda disentul juga enak &amp; tempatnya rame banget
MkX3K8Vmvas,tanboy kun,mpo Darmi
MkX3K8Vmvas,tanboy kun,lucu ibunya klo ngomong
MkX3K8Vmvas,tanboy kun,Ngilerrr😂
MkX3K8Vmvas,tanboy kun,Bekasi ini?
MkX3K8Vmvas,tanboy kun,Aq mkan sop Janda di Kalimalang...
MkX3K8Vmvas,tanboy kun,"<a href=""https://www.youtube.com/watch?v=MkX3K8Vmvas&amp;t=113"">1:53</a> diet nasi dikit nya bang bara itu seperti porsi makan besar ku😂"
MkX3K8Vmvas,tanboy kun,Bang tips biar ga gampang mencret
MkX3K8Vmvas,tanboy kun,"Masyaallah,kayaknya enaaaaak bangeet,jadi lapeeer.."
MkX3K8Vmvas,tanboy kun,Mantap
MkX3K8Vmvas,tanboy kun,jadi lapeer gw liatnya
MkX3K8Vmvas,tanboy kun,"ini beneran enakkkk, tp kolesterol menjerit tiap makan ini 🤣"
MkX3K8Vmvas,tanboy kun,Makin mahal dah😭
MkX3K8Vmvas,tanboy kun,Cuma bisa nelen ludah😩
MkX3K8Vmvas,tanboy kun,Ga pernah ga ngiler😭
MkX3K8Vmvas,tanboy kun,jadi pgn kerja lg dipt dulu tiap sarapan mkannya ini dr harga msh 45😓 emg seenak ituu
MkX3K8Vmvas,tanboy kun,Cobain ayam penyet uncle di bintro bang... loe kan katanya suka pedes
MkX3K8Vmvas,tanboy kun,Ngilerrrr😢
MkX3K8Vmvas,tanboy kun,Bagus untuk kontennya
MkX3K8Vmvas,tanboy kun,Masih yang terbaik ❤𝑮𝑨𝑳𝑨𝑻𝑨𝑴𝑨88❤
MkX3K8Vmvas,tanboy kun,"Biasa beli sop Janda ini 2 porsi dibungkus(pedas &amp; tidak pedas) biar dapet extra kuah, bisa makan buat 2 hari 😅😅😅.<br>Ini 3 porsi dilibas sendiri sekaligus."
MkX3K8Vmvas,tanboy kun,terkenal seantero bekasi dan kabupaten.. emang enak si cm jgn dateng saat jam makan siang. antri bgt..
MkX3K8Vmvas,tanboy kun,"harga segitu gw cuma bisa makan hanya sebulan sekali njirr, kalau lebih mahal mah gw pindah haluan"
MkX3K8Vmvas,tanboy kun,Pertama kesitu msh harga 50 terakhir x kstu 55 sekarang dah 60 yah😅
MkX3K8Vmvas,tanboy kun,"Lihat MakanNya Uenak Nikmat Buangettt... Jadi Ngiler Nonton Nya 👍🏻😋 sehat Terus AbangNya,, Sukses Selalu"
MkX3K8Vmvas,tanboy kun,Ada juga yg bilang sop janda itu Jawa Sunda
MkX3K8Vmvas,tanboy kun,"Inget zaman ngerantau di cikarang,, pernah beli dan enakkkk"
MkX3K8Vmvas,tanboy kun,"Bekasi wong tuban hadir , mantab sampe kecikarang , mmng mantab sy jg pernah nyobain pencinta pedes jg , waktu itu 1 porsi masih 50rb , skrg SDH 60, cmn kayak nya selevel Tan boy makan cabe segitu kurang banyak deh &#39; tapi mmng mantab seger dan pedas 👍"
MkX3K8Vmvas,tanboy kun,"ini asli enak bener, 1 porsi bisa bikin kenyang seharian,,,"
MkX3K8Vmvas,tanboy kun,Trakhir makan ini pas 2014 hrganya masih 40rban.. Bneran emg enak bgt. Anak2 pt cikarang pasti pernah kesitu. Warungnya jg masih sama ky dulu.. Jd kangen kstu lg
MkX3K8Vmvas,tanboy kun,Udah pernah nyoba di cikarang enak bgtttt
MkX3K8Vmvas,tanboy kun,Mending Janda atau Perawatan nihh 🗿🙏
MkX3K8Vmvas,tanboy kun,Mangane sakmunu kyok blawong waeee😮
MkX3K8Vmvas,tanboy kun,Selalu nagih anget-anget di tambah pedass mantappp
MkX3K8Vmvas,tanboy kun,Kenapa masakan pedas selalu menjadi juaranya orang indonesia
MkX3K8Vmvas,tanboy kun,Jadi Kangen Masak Bunda Yang pedesnya luar binasa hehehe
MkX3K8Vmvas,tanboy kun,Kacau si ini pedesnya tapi ngiler juga si liat nya
MkX3K8Vmvas,tanboy kun,"Ngiler gue sumpah tamboykun gokil, gue belik sop kebanyakan tulang doang🤣🤣"
MkX3K8Vmvas,tanboy kun,"Beruntung pas dapet spesial daging lu bang, kl kitamah beli lemak mulu."
MkX3K8Vmvas,tanboy kun,Sayangi lambung mu nak.
MkX3K8Vmvas,tanboy kun,3 porsi sendiri gue makan disitu 1 porsi berdua ga habis mantap emang bang tanboy
