video_id,title,channel_name,tanggal,author,komentar,label,komentar_clean,predicted_label,cleaned,stemmed,tokens,token_count,char_count
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.412.234.123.970,TerranceNoelle-o9i,Makin yakin abis baca review lain tentang ✌✌𝐒𝐆𝐈𝟖𝟖.,1,makin yakin abis baca review lain tentang 𝐒𝐆𝐈𝟖𝟖 .,0,makin yakin abis baca review lain tentang sgi88,makin yakin abis baca review lain tentang sgi88,"['makin', 'yakin', 'abis', 'baca', 'review', 'lain', 'tentang', 'sgi88']",8,50
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.601.493.342.000,deraatvexplorerriders.2113,Paling suka model H2 😍🔥,0,suka model h2,0,paling suka model h2,paling suka model h2,"['paling', 'suka', 'model', 'h2']",4,23
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.772.479.808.090,risqokurniadi7208,Mobilnya udah hancur 🥺,0,mobilnya udah hancur,0,mobilnya udah hancur,mobil udah hancur,"['mobilnya', 'udah', 'hancur']",3,22
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.556.100.780,LorrianeDotson,░𝙈𝘼𝙉𝙐𝙏88░benar2 bikin aku jadi sultan,1,░𝙈𝘼𝙉𝙐𝙏88░benar2 bikin sultan,1,bikin aku jadi sultan,bikin aku jadi sultan,"['bikin', 'aku', 'jadi', 'sultan']",4,37
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.858.865.953.920,Elpoco7365,Semoga lekas recover mobilnya mas Dipo,0,semoga lekas recover mobilnya mas dipo,0,semoga lekas recover mobilnya mas dipo,moga lekas recover mobil mas dipo,"['semoga', 'lekas', 'recover', 'mobilnya', 'mas', 'dipo']",6,38
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,ReshmaBanu-ml2cn,pantes tongkrongan maen alexis17,1,pantes tongkrongan maen alexis17,1,pantes tongkrongan maen alexisit,pantes tongkrong maen alexisit,"['pantes', 'tongkrongan', 'maen', 'alexisit']",4,32
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.164.793.426.260,WulanSantoso-e4n,gua udah ga bisa bayangin hidup tanpa ALEXIS-17☯ sih,1,gua udah ga bisa bayangin hidup tanpa alexis-17 sih,1,gua udah ga bisa bayangin hidup tanpa alexis it sih,gua udah ga bisa bayangin hidup tanpa alexis it sih,"['gua', 'udah', 'ga', 'bisa', 'bayangin', 'hidup', 'tanpa', 'alexis', 'it', 'sih']",10,52
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,Boruulqi,langsung percaya lihat hasilnya,1,langsung percaya lihat hasilnya,1,langsung percaya lihat hasilnya,langsung percaya lihat hasil,"['langsung', 'percaya', 'lihat', 'hasilnya']",4,31
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,SitiSeptiani-m4o,orang bilang alexis17 tuh miracle banget !,1,orang bilang alexis17 tuh miracle banget !,1,orang bilang alexisit tuh miracle banget,orang bilang alexisit tuh miracle banget,"['orang', 'bilang', 'alexisit', 'tuh', 'miracle', 'banget']",6,42
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.326.412.990,urutoito,Yapping mulu anjir kagak ada jawaban sistematis dan realistis,0,yapping mulu anjir kagak ada jawaban sistematis dan realistis,0,yapping mulu anjir kagak ada jawaban sistematis dan realistis,yapping mulu anjir kagak ada jawab sistematis dan realistis,"['yapping', 'mulu', 'anjir', 'kagak', 'ada', 'jawaban', 'sistematis', 'dan', 'realistis']",9,61
