video_id,channel_name,komentar,label,cleaned,stemmed,tokens,token_count,char_count
MkX3K8Vmvas,tanboy kun,Pengen cobain tp jauuuh,-1,pengen cobain tp jauuuh,ken cobain tp jauuuh,"['pengen', 'cobain', 'tp', 'jauuuh']",4,23
MkX3K8Vmvas,tanboy kun,Jadi inget pas maen go foot dapet SOP janda mana ambil jauh...eh pas di resto duite kurang 2 rebu ga di layanin...sedih bgt ahirnya di cansel Cs...soalnya masih go shop Sampai sekarang kl dpt ga mau lagi😂,-1,jadi inget pas maen go foot dapet sop janda mana ambil jauh eh pas di resto duite kurang 2 rebu ga di layanin sedih bgt ahirnya di cansel cs soalnya masih go shop sampai sekarang kl dpt ga mau lagi,jadi inget pas maen go foot dapet sop janda mana ambil jauh eh pas di resto duite kurang 2 rebu ga di layanin sedih bgt ahirnya di cansel cs soal masih go shop sampai sekarang kl dpt ga mau lagi,"['jadi', 'inget', 'pas', 'maen', 'go', 'foot', 'dapet', 'sop', 'janda', 'mana', 'ambil', 'jauh', 'eh', 'pas', 'di', 'resto', 'duite', 'kurang', '2', 'rebu', 'ga', 'di', 'layanin', 'sedih', 'bgt', 'ahirnya', 'di', 'cansel', 'cs', 'soalnya', 'masih', 'go', 'shop', 'sampai', 'sekarang', 'kl', 'dpt', 'ga', 'mau', 'lagi']",40,204
MkX3K8Vmvas,tanboy kun,bang bokor yang punya kawasan kaga masuk kamera hahahaha mantap bikin ngilerrr 🤤🤤🤤,-1,bang bokor yang punya kawasan kaga masuk kamera hahahaha mantap bikin ngilerrr,bang bokor yang punya kawasan kaga masuk kamera hahahaha mantap bikin ngilerrr,"['bang', 'bokor', 'yang', 'punya', 'kawasan', 'kaga', 'masuk', 'kamera', 'hahahaha', 'mantap', 'bikin', 'ngilerrr']",12,82
MkX3K8Vmvas,tanboy kun,Gw makan sop janda itu dr jaman harga 16rb skrg udah 60rb..kangen euy kawasan mm2100 ❤,-1,gw makan sop janda itu dr jaman harga i6rb skrg udah 6orb kangen euy kawasan mm2ioo,gw makan sop janda itu dr jaman harga i6rb skrg udah 6orb kangen euy kawasan mm2ioo,"['gw', 'makan', 'sop', 'janda', 'itu', 'dr', 'jaman', 'harga', 'i6rb', 'skrg', 'udah', '6orb', 'kangen', 'euy', 'kawasan', 'mm2ioo']",16,86
MkX3K8Vmvas,tanboy kun,"Sampe ga bisa berkata kataa, wah waaah wahhhhhh",-1,sampe ga bisa berkata kataa wah waaah wahhhhhh,sampe ga bisa kata kataa wah waaah wahhhhhh,"['sampe', 'ga', 'bisa', 'berkata', 'kataa', 'wah', 'waaah', 'wahhhhhh']",8,47
MkX3K8Vmvas,tanboy kun,Itu yg harga brapa duit<br>Ko banyak bangat daging dan tangkarny?<br>Sya pernah beli yg seporsi 35br<br>Banyakan kuah dan cabenya nya dri pd isinya,-1,itu yg harga brapa duit br ko banyak bangat daging dan tangkarny br sya pernah beli yg seporsi esbr br banyakan kuah dan cabenya nya dri pd isinya,itu yg harga brapa duit br ko banyak bangat daging dan tangkarny br sya pernah beli yg porsi esbr br banyak kuah dan cabe nya dri pd isi,"['itu', 'yg', 'harga', 'brapa', 'duit', 'br', 'ko', 'banyak', 'bangat', 'daging', 'dan', 'tangkarny', 'br', 'sya', 'pernah', 'beli', 'yg', 'seporsi', 'esbr', 'br', 'banyakan', 'kuah', 'dan', 'cabenya', 'nya', 'dri', 'pd', 'isinya']",28,147
MkX3K8Vmvas,tanboy kun,Nah...ini yg saya tunggu SOP jada Bu darmi bang....,-1,nah ini yg saya tunggu sop jada bu darmi bang,nah ini yg saya tunggu sop jada bu darmi bang,"['nah', 'ini', 'yg', 'saya', 'tunggu', 'sop', 'jada', 'bu', 'darmi', 'bang']",10,51
MkX3K8Vmvas,tanboy kun,Sop jandaa bu darmi 10/10 mantapp favoritt,-1,sop jandaa bu darmi io io mantapp favoritt,sop jandaa bu darmi io io mantapp favoritt,"['sop', 'jandaa', 'bu', 'darmi', 'io', 'io', 'mantapp', 'favoritt']",8,42
MkX3K8Vmvas,tanboy kun,"Alhirnya di liput juga, udah lama ini restonya kan.. dulu sih best bgt.. gatau kalo sekarang",-1,alhirnya di liput juga udah lama ini restonya kan dulu sih best bgt gatau kalo sekarang,alhirnya di liput juga udah lama ini restonya kan dulu sih best bgt gatau kalo sekarang,"['alhirnya', 'di', 'liput', 'juga', 'udah', 'lama', 'ini', 'restonya', 'kan', 'dulu', 'sih', 'best', 'bgt', 'gatau', 'kalo', 'sekarang']",16,92
MkX3K8Vmvas,tanboy kun,Emg enak bgt. Tiap ke cibitung mampir beli sop janda,-1,emg enak bgt tiap ke cibitung mampir beli sop janda,emg enak bgt tiap ke cibitung mampir beli sop janda,"['emg', 'enak', 'bgt', 'tiap', 'ke', 'cibitung', 'mampir', 'beli', 'sop', 'janda']",10,52
