feature,coef
alexisit,4.942891873396265
main,2.2199184207932894
sgi88,2.0107940294563376
gue,1.91473304695577
weton88,1.892621316703819
mandalikatt,1.813268220220744
banget,1.6273954276582971
jepe,1.597916741614256
rezeki,1.571963505670328
bikin,1.3249825855186839
menang,1.3123828971651896
maen,1.1780252127121618
modal,1.172467769506933
pulauwin,1.0919918543610723
gampang,1.0907328636606501
emang,1.0852007166832534
gacir,1.067419353429331
wede,1.0496035347568708
udah,0.9943935000695476
gak,0.98041023937744
tujuh,0.9618106369559587
hari,0.9225906262949325
auto,0.90418218602498
salam,0.8885901186120835
cuan,0.8883836577509563
alexis,0.876709444196233
alexis it,0.8758966306584413
bener,0.8594310107356183
agustoto,0.8426551884799897
gacor,0.8131076538056746
sih,0.7937546981170329
it,0.7298950082701725
seru,0.7134453896178414
situs,0.6979503749684669
dewadora,0.6949196009841756
jepey,0.6826734813137271
main di,0.6652518104198858
lgsng,0.6645186186840618
tujuh tujuh,0.6553410872881956
lancar,0.6545729443092513
hoki,0.6466259750332009
untung,0.6300480650616843
makswin,0.6242719045780599
alexisit tuh,0.6222352640934797
doratt,0.6063769151409417
hasil,0.6057761940942392
emang gak,0.5923682992418317
sketer,0.5834913727428785
main alexisit,0.5834661070739587
gue udah,0.5794582849040155
coba,0.5562467526343511
di mandalikatt,0.5556200556925853
terus,0.5530106112534481
se,0.5528950192206996
bener bener,0.5505575165504556
kasih,0.5481600213775234
hidup,0.5375556026006973
wd,0.5294276290926505
gede,0.5152505687495512
rela,0.5151957564682149
deh,0.5104317079430157
join,0.5077147617397165
bonanja,0.5072651749739706
gue rela,0.5066431006615589
swert,0.5062270160906263
dapet,0.5039537329306175
swert bonanja,0.5032772897982946
maxwin,0.5019343454154694
baik,0.5018703513059781
mekswin,0.49749292863884426
beneran,0.49294194464288194
pawpawad,0.48896215894561945
pulauttt,0.48134262830522906
jepek,0.480365900575992
tiap,0.4626425396665125
temen,0.46202522057996065
tagih,0.4593526197313237
kali,0.4536004711605123
alexisit gue,0.44737247001976427
tuh,0.44673150097896386
receh,0.4456821625442818
gampang jepe,0.4400501129954046
alexisit emang,0.4381583537285933
abis,0.4346226382935785
join alexisit,0.42868824762522045
besar,0.42856235890816646
nggak,0.4279808626964392
nyangka,0.42564452108448436
salam jepe,0.42561291231620196
bilang alexisit,0.41659885081512416
gates,0.4155988177812359
gak se,0.4061537848482449
gacur,0.4059490344015846
top,0.39839000193499263
tt,0.392714192185759
modal receh,0.39169166202671096
beda,0.3873336451820168
layan,0.3852849600381468
nagih,0.3799649239900932
hadiah,0.3765518353510721
